Security_Code,Security_Name
500010,HDFC
543248,BURGERKING
532822,IDEA
542830,IRCTC
532174,ICICIBANK
500510,LT
500570,TATAMOTORS
500087,CIPLA
500470,TATASTEEL
500312,ONGC
500325,RELIANCE
500180,HDFCBANK
532648,YESBANK
532187,INDUSINDBK
500112,SBIN
533278,COALINDIA
500104,HINDPETRO*
532215,AXISBANK
500209,INFY
500113,SAIL
